"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+8.97732687500E+008, -2.88273857010E-001, +0.00000000000E+000
+9.00232500000E+008, -2.88505059718E-001, +0.00000000000E+000
+9.02732312500E+008, -2.89448685599E-001, +0.00000000000E+000
+9.05232125000E+008, -2.90696236806E-001, +0.00000000000E+000
+9.07731937500E+008, -2.91156599893E-001, +0.00000000000E+000
+9.10231750000E+008, -2.91458063576E-001, +0.00000000000E+000
+9.12731562500E+008, -2.93366634507E-001, +0.00000000000E+000
+9.15231375000E+008, -2.93063432034E-001, +0.00000000000E+000
+9.17731187500E+008, -2.94839665371E-001, +0.00000000000E+000
+9.20231000000E+008, -2.96074840186E-001, +0.00000000000E+000
+9.22730812500E+008, -2.96586767056E-001, +0.00000000000E+000
+9.25230625000E+008, -2.97529749574E-001, +0.00000000000E+000
+9.27730437500E+008, -2.98240023042E-001, +0.00000000000E+000
+9.30230250000E+008, -2.98887921475E-001, +0.00000000000E+000
+9.32730062500E+008, -2.99432954276E-001, +0.00000000000E+000
+9.35229875000E+008, -3.00068060925E-001, +0.00000000000E+000
+9.37729687500E+008, -3.02310854080E-001, +0.00000000000E+000
+9.40229500000E+008, -3.01709040114E-001, +0.00000000000E+000
+9.42729312500E+008, -3.05446634099E-001, +0.00000000000E+000
+9.45229125000E+008, -3.05663445828E-001, +0.00000000000E+000
+9.47728937500E+008, -3.07363623783E-001, +0.00000000000E+000
+9.50228750000E+008, -3.09788195815E-001, +0.00000000000E+000
+9.52728562500E+008, -3.09240849461E-001, +0.00000000000E+000
+9.55228375000E+008, -3.11306617449E-001, +0.00000000000E+000
+9.57728187500E+008, -3.13110300582E-001, +0.00000000000E+000
+9.60228000000E+008, -3.15473587904E-001, +0.00000000000E+000
+9.62727812500E+008, -3.13749145082E-001, +0.00000000000E+000
+9.65227625000E+008, -3.16257241535E-001, +0.00000000000E+000
+9.67727437500E+008, -3.17819029161E-001, +0.00000000000E+000
+9.70227250000E+008, -3.18388625929E-001, +0.00000000000E+000
+9.72727062500E+008, -3.19910144682E-001, +0.00000000000E+000
+9.75226875000E+008, -3.19989646372E-001, +0.00000000000E+000
+9.77726687500E+008, -3.21107803695E-001, +0.00000000000E+000
+9.80226500000E+008, -3.22112413014E-001, +0.00000000000E+000
+9.82726312500E+008, -3.22735390630E-001, +0.00000000000E+000
+9.85226125000E+008, -3.23638547346E-001, +0.00000000000E+000
+9.87725937500E+008, -3.24748385253E-001, +0.00000000000E+000
+9.90225750000E+008, -3.26126048505E-001, +0.00000000000E+000
+9.92725562500E+008, -3.27717005257E-001, +0.00000000000E+000
+9.95225375000E+008, -3.28687915552E-001, +0.00000000000E+000
+9.97725187500E+008, -3.29039465237E-001, +0.00000000000E+000
+1.00022500000E+009, -3.31864947320E-001, +0.00000000000E+000
+1.00272481250E+009, -3.32591596404E-001, +0.00000000000E+000
+1.00522462500E+009, -3.34754887731E-001, +0.00000000000E+000
+1.00772443750E+009, -3.35189583263E-001, +0.00000000000E+000
+1.01022425000E+009, -3.37283479814E-001, +0.00000000000E+000
+1.01272406250E+009, -3.38457064599E-001, +0.00000000000E+000
+1.01522387500E+009, -3.39583499027E-001, +0.00000000000E+000
+1.01772368750E+009, -3.41972588406E-001, +0.00000000000E+000
+1.02022350000E+009, -3.42733713160E-001, +0.00000000000E+000
+1.02272331250E+009, -3.44244869727E-001, +0.00000000000E+000
+1.02522312500E+009, -3.44804628887E-001, +0.00000000000E+000
+1.02772293750E+009, -3.46441732292E-001, +0.00000000000E+000
+1.03022275000E+009, -3.46213050434E-001, +0.00000000000E+000
+1.03272256250E+009, -3.49260666731E-001, +0.00000000000E+000
+1.03522237500E+009, -3.50395180131E-001, +0.00000000000E+000
